Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13
3489.092548597985,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0055367484216774995,2.0,L,,,,,,,,,,
3494.47691053809,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.01931163118623197,2.0,L,,,,,,,,,,
4420.170981670627,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.022097583884422876,2.0,L,,,,,,,,,,
4439.185322628194,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.05909507372393842,2.0,L,,,,,,,,,,
5213.831133924082,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.04921976458604683,2.0,L,,,,,,,,,,
5215.313784313386,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.06889531796989377,2.0,L,,,,,,,,,,
476.8151629181334,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.0021863837512064387,2.0,L,,,,,,,,,,
993.9740232715417,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.009113257956462839,2.0,L,,,,,,,,,,
2005.0375431355892,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.014299386819602671,2.0,L,,,,,,,,,,
2006.3381136525227,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.012332496613171855,2.0,L,,,,,,,,,,
2510.049074860839,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.017679207333744926,2.0,L,,,,,,,,,,
2511.271611146756,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.037748138758878044,2.0,L,,,,,,,,,,
3514.089513933446,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.033486543311611244,2.0,L,,,,,,,,,,
3536.8234865694412,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.04294091894155652,2.0,L,,,,,,,,,,
3998.7341113635184,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.08958567267763835,2.0,L,,,,,,,,,,
4016.343836162797,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.08487178750174301,2.0,L,,,,,,,,,,
4418.818388333016,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.11181438257582327,2.0,L,,,,,,,,,,
5226.446667938336,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.13972997067955822,2.0,L,,,,,,,,,,
5231.857041288779,"Milliman, 1977",M77,23.3,-70.5,Aragonite ooids,Aragonite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, ",40.0,0.2192189402975183,2.0,L,,,,,,,,,,
996.8352784087951,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.004786099502315011,2.0,L,,,,,,,,,,
1009.7629493471136,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.007153019069570669,2.0,L,,,,,,,,,,
1996.5318119548442,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.0052450405504822035,2.0,L,,,,,,,,,,
2513.092409870463,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.03499449246987486,2.0,L,,,,,,,,,,
2517.5143496280366,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.028307065768010058,2.0,L,,,,,,,,,,
3513.1270917509155,"Milliman, 1977",M77,23.3,-70.5,Mg-calcite ooids,Mg-calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, 12 mole % MgCO3",40.0,0.013024233845191972,2.0,L,,,,,,,,,,
